deviceName,pm10,pm25,co2,tvoc,temperature,humidity,checkDateTime
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,39,2023/12/10 3:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,39,2023/12/10 4:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,37,2023/12/10 5:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,29,37,2023/12/10 6:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,29,37,2023/12/10 7:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,29,37,2023/12/10 8:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,29,37,2023/12/10 9:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,29,37,2023/12/10 10:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,29,37,2023/12/10 11:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,29,37,2023/12/10 12:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,29,37,2023/12/10 13:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,29,37,2023/12/10 14:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,29,37,2023/12/10 15:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,29,37,2023/12/10 16:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,29,37,2023/12/10 17:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,36,2023/12/10 18:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,36,2023/12/10 19:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,34,2023/12/10 20:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,34,2023/12/10 21:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,34,2023/12/10 22:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,34,2023/12/10 23:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,34,2023/12/11 0:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,34,2023/12/11 1:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,34,2023/12/11 2:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,36,2023/12/11 3:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,34,2023/12/11 4:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,34,2023/12/11 5:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,34,2023/12/11 6:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,29,34,2023/12/11 7:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,29,36,2023/12/11 8:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,36,2023/12/11 9:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,29,36,2023/12/11 10:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,29,36,2023/12/11 11:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,37,2023/12/11 12:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,39,2023/12/11 13:04
